"Story","Title","Result","Date","Stability","Duration (s)"
"When user log in","User Logging In","SUCCESS","2018-03-05T19:36:57.926Z","0.0","0.0"
"When user log in","User finds LogIn link","SUCCESS","2018-03-05T19:36:57.902Z","0.0","0.0"
